Insira seu código aqui:,Qual sua idade?,"Em média, quantas horas por dia você dedica aos estudos individuais?","Quando você vai definir seus métodos de estudo, como você faz essa escolha?",Quais métodos de estudo você considera mais eficaz para o seu aprendizado?,"Quando você encontra um novo método de estudo, como decide testá-lo?",Como você identifica se um método de estudo está funcionando para você?,Com que frequência você revisa o material estudado?,Qual é o seu método preferido para revisar e consolidar o conhecimento adquirido durante os estudos?,Com que frequência você pratica atividade física?,Qual é o tipo de atividade física que você costuma praticar?,Como você equilibra seu tempo entre atividade física e estudos?,"Em uma escala de 1 a 5, onde 1 representa ""Nenhum impacto"" e 5 representa ""Grande impacto"", como você avaliaria o impacto da prática regular de atividade física na sua saúde mental em relação aos estudos?",Com que frequência você procrastina quando se trata de realizar tarefas de estudo?,Qual o principal motivo que leva você a procrastinar as tarefas de estudo?,Como a procrastinação afeta seu desempenho acadêmico?,"Em uma escala de 1 a 5, onde 1 representa ""Nenhum impacto"" e 5 representa ""Grande impacto"", como você avaliaria o impacto da procrastinação na sua satisfação pessoal com seus hábitos de estudo?",Qual sua principal forma de entretenimento diário?,"Quanto tempo médio do seu dia você dedica a atividades de entretenimento, como assistir a filmes, séries, Jogos ou utilizar redes sociais?","Em uma escala de 1 a 5, onde 1 representa ""Nenhum impacto"" e 5 representa ""Grande impacto"", como você avaliaria o impacto do entretenimento diário nos seus estudos?",Com que frequência você estuda regularmente?,Em que cidade você mora?,"Quanto tempo, em média, você leva para se locomover de onde você mora até a universidade","Quanto tempo em média, você leva para se locomover da universidade até onde você mora?",Quantas horas de sono você costuma ter em uma noite típica?,Quais são os principais desafios que você enfrenta para manter a consistência nos estudos?,Com que frequência você percebe que a ansiedade interfere na sua motivação para estudar,Como a ansiedade afeta o seu planejamento de estudos?,"Você teria interesse em participar de uma palestra sobre administração do tempo e metodologias de estudos, visando melhorar sua eficiência e produtividade acadêmica?"
30,18,1-2,Técnicas cientificamente comprovadas,Leitura ativa;Discussões em grupo;Recursos tecnológicos,Fontes confiáveis,Retenção a longo prazo,Semanalmente,Ensinar outra pessoa,3-5,Academia de musculação,Cronograma fixo para cada um,5,Raramente,Sensação de sobrecarga ou ansiedade em relação à tarefa,Atrasos significativos nas entregas de trabalhos e estudos,5,Jogos,1-2,1,Todos os dias,"Sanharó, Pernambuco",1:30 - 2:00,1:30 - 2:00,7-8,Gerenciar o tempo,Frequentemente,Torna difícil estabelecer um cronograma de estudos consistente,Sim
12,20,< 1,Outros,Discussões em grupo,Experimentando,Domínio do conteúdo,Antes de avaliações,Resolver exercícios,Raramente,Caminhada,Não pratico atividades físicas,1,Nunca,Falta de motivação; Dificuldade em começar,Sobrecarga de atividades que ficam de última hora,4,Jogos,> 4,3,Irregularmente,"Gravatá, Pernambuco",2:00 - 2:30,2:00 - 2:30,< 5,Falta de motivação; Dificuldade em gerenciar o tempo; Procrastinação ,Raramente,Não tenho ansiedade,Sim
16,18,< 1,Experiência pessoal,Leitura ativa;Elaboração de resumos,Experimentando,Retenção a longo prazo,Semanalmente,Resumir e esquematizar,Raramente,Esportes em equipe,Cronograma fixo para cada um,3,Sempre,Distrações externas,Atrasos significativos nas entregas de trabalhos e estudos,5,Ler livros ou revistas,> 4,5,Três a quatro vezes por semana,"Caruaru, Pernambuco",1:30 - 2:00,1:30 - 2:00,6-7,Procrastinação,Frequentemente,Evitar iniciar tarefas de estudo,Sim
21,18,1-2,Experiência pessoal,Leitura ativa;Recursos tecnológicos,Experimentando,Domínio do conteúdo,Semanalmente,Ensinar outra pessoa,2-3,Ciclismo,Priorizo os estudos e encaixo a atividade física quando possível,5,Às vezes,Distrações externas,Qualidade inferior nos trabalhos e estudos,4,Jogos,2-4,2,Três a quatro vezes por semana,"Cachoeirinha, Pernambuco",1:00 - 1:30,1:30 - 2:00,7-8,Gerenciar o tempo,Nunca,Não tenho ansiedade,Sim
29,18,1-2,Experiência pessoal,Elaboração de resumos,Experimentando,Retenção a longo prazo,Semanalmente,Resumir e esquematizar,2-3,Caminhada,Alterno entre atividade física e estudos de acordo com a disponibilidade,2,Frequentemente,Sensação de sobrecarga ou ansiedade em relação à tarefa,Não afeta,2,Um pouco de todos,1-2,3,Três a quatro vezes por semana,"Caruaru, Pernambuco",1:30 - 2:00,1:30 - 2:00,< 5,Distrações externas,Frequentemente,Gera preocupações excessivas sobre o desempenho acadêmico,Sim
28,18,1-2,Experiência pessoal,Leitura ativa;Elaboração de resumos,Não tento,Se permite aplicação prática,Semanalmente,Resumir e esquematizar,Nenhuma,Não pratico,Não pratico atividades físicas,3,Frequentemente,Não entender o assunto; Falta de motivação,Qualidade inferior nos trabalhos e estudos,5,Filmes e séries,1-2,3,Uma ou duas vezes por semana,"Caruaru, Pernambuco",0:30 - 1:00,0:30 - 1:00,5-6,Gerenciar o tempo,Frequentemente,Gera preocupações excessivas sobre o desempenho acadêmico,Sim
7,18,1-2,Experiência pessoal,Elaboração de resumos;Discussões em grupo,Experimentando,Retenção a longo prazo,Mensalmente,Resolver exercícios,2-3,Esportes em equipe,Alterno entre atividade física e estudos de acordo com a disponibilidade,5,Sempre,Distrações externas,Atrasos significativos nas entregas de trabalhos e estudos,4,Filmes e séries,2-4,3,Três a quatro vezes por semana,"Bezerros, Pernambuco",0:30 - 1:00,0:30 - 1:00,5-6,Distrações externas,Às vezes,Gera preocupações excessivas sobre o desempenho acadêmico,Não
6,18,1-2,Experiência pessoal,Elaboração de resumos;Discussões em grupo,Experimentando,Retenção a longo prazo,Mensalmente,Resumir e esquematizar,2-3,Esportes em equipe,Cronograma fixo para cada um,5,Frequentemente,Distrações externas,Atrasos significativos nas entregas de trabalhos e estudos,4,Redes sociais,2-4,3,Cinco ou mais vezes por semana,"Bezerros, Pernambuco",0:30 - 1:00,0:30 - 1:00,6-7,Falta de motivação,Raramente,Gera preocupações excessivas sobre o desempenho acadêmico,Não
11,23,> 6,Experiência pessoal,Recursos tecnológicos,Fontes confiáveis,Retenção a longo prazo,Diariamente,Resolver exercícios,Nenhuma,Esportes em equipe,Não pratico atividades físicas,1,Nunca,Falta de motivação,Atrasos significativos nas entregas de trabalhos e estudos,5,Filmes e séries,< 1,3,Três a quatro vezes por semana,"Caruaru, Pernambuco",1:30 - 2:00,1:30 - 2:00,> 8,Procrastinação,Raramente,Evitar iniciar tarefas de estudo,Não
18,20,1-2,Experiência pessoal,Leitura ativa;Elaboração de resumos,Experimentando,Retenção a longo prazo,Semanalmente,Resolver exercícios,2-3,Caminhada,Priorizo os estudos e encaixo a atividade física quando possível,3,Às vezes,Falta de motivação,Atrasos significativos nas entregas de trabalhos e estudos,3,Jogos,1-2,4,Cinco ou mais vezes por semana,"Santa Cruz do Capibaribe, Pernambuco",1:00 - 1:30,1:00 - 1:30,7-8,Distrações externas,Sempre,Gera preocupações excessivas sobre o desempenho acadêmico,Sim
23,19,1-2,Experiência pessoal,Recursos tecnológicos,Experimentando,Retenção a longo prazo,Semanalmente,Resolver exercícios,2-3,Caminhada,Alterno entre atividade física e estudos de acordo com a disponibilidade,4,Às vezes,Dificuldade em começar,Qualidade inferior nos trabalhos e estudos,4,Ler livros ou revistas,2-4,4,Três a quatro vezes por semana,"Caruaru, Pernambuco",1:00 - 1:30,1:00 - 1:30,5-6,Distrações externas,Nunca,Não tenho ansiedade,Tanto faz
15,30,1-2,Experiência pessoal,Leitura ativa,Pesquisando sobre a eficácia,Retenção a longo prazo,Semanalmente,Resolver exercícios,Raramente,Caminhada,Priorizo os estudos e encaixo a atividade física quando possível,5,Frequentemente,Dificuldade em começar,Atrasos significativos nas entregas de trabalhos e estudos,5,Redes sociais,< 1,4,Três a quatro vezes por semana,"Caruaru, Pernambuco",0:00 - 0:30,0:00 - 0:30,7-8,Procrastinação,Sempre,Torna difícil estabelecer um cronograma de estudos consistente,Sim
20,18,> 6,Experiência pessoal,Elaboração de resumos;Recursos tecnológicos,Experiência de outras pessoas,Resultados de avaliações,Semanalmente,Resumir e esquematizar,2-3,Esportes em equipe,Alterno entre atividade física e estudos de acordo com a disponibilidade,3,Frequentemente,Dificuldade em começar,Atrasos significativos nas entregas de trabalhos e estudos,4,Redes sociais,> 4,3,Três a quatro vezes por semana,"Caruaru, Pernambuco",1:30 - 2:00,1:30 - 2:00,5-6,Gerenciar o tempo,Frequentemente,Evitar iniciar tarefas de estudo,Tanto faz
19,19,< 1,Experiência pessoal,Leitura ativa;Elaboração de resumos,Experimentando,Retenção a longo prazo,Antes de avaliações,Resolver exercícios,Raramente,Caminhada,Priorizo os estudos e encaixo a atividade física quando possível,4,Frequentemente,Dificuldade em começar,Atrasos significativos nas entregas de trabalhos e estudos,4,Redes sociais,< 1,4,Três a quatro vezes por semana,"Cumaru, Pernambuco",1:30 - 2:00,1:30 - 2:00,7-8,Distrações externas,Frequentemente,Gera preocupações excessivas sobre o desempenho acadêmico,Sim
22,18,1-2,Recomendações sociais,Recursos tecnológicos,Experiência de outras pessoas,Resultados de avaliações,Antes de avaliações,Ensinar outra pessoa,Raramente,Caminhada,Alterno entre atividade física e estudos de acordo com a disponibilidade,2,Às vezes,Sensação de sobrecarga ou ansiedade em relação à tarefa,Atrasos significativos nas entregas de trabalhos e estudos,3,Jogos,2-4,1,Todos os dias,"Caruaru, Pernambuco",0:30 - 1:00,0:30 - 1:00,6-7,Gerenciar o tempo,Às vezes,Gera preocupações excessivas sobre o desempenho acadêmico,Não
2,19,3-4,Experiência pessoal,Leitura ativa,Experimentando,Resultados de avaliações,Semanalmente,Ensinar outra pessoa,7,Academia de musculação,Cronograma fixo para cada um,5,Às vezes,Sensação de sobrecarga ou ansiedade em relação à tarefa,Atrasos significativos nas entregas de trabalhos e estudos,3,Filmes e séries,2-4,3,Três a quatro vezes por semana,"Caruaru, Pernambuco",1:00 - 1:30,1:00 - 1:30,6-7,Distrações externas,Frequentemente,Torna difícil estabelecer um cronograma de estudos consistente,Sim
9,22,< 1,Experiência pessoal,Discussões em grupo,Experiência de outras pessoas,Domínio do conteúdo,Raramente,Ensinar outra pessoa,3-5,Academia de musculação,Alterno entre atividade física e estudos de acordo com a disponibilidade,5,Sempre,Dificuldade em começar,Atrasos significativos nas entregas de trabalhos e estudos,5,Jogos,2-4,5,Três a quatro vezes por semana,"Caruaru, Pernambuco",1:00 - 1:30,1:00 - 1:30,5-6,Gerenciar o tempo,Sempre,Evitar iniciar tarefas de estudo,Sim
1,18,1-2,Experiência pessoal,Discussões em grupo,Experiência de outras pessoas,Retenção a longo prazo,Semanalmente,Resumir e esquematizar,Nenhuma,Não pratico,Não pratico atividades físicas,1,Sempre,Distrações externas,Atrasos significativos nas entregas de trabalhos e estudos,4,Redes sociais,> 4,3,Irregularmente,"Toritama, Pernambuco",0:30 - 1:00,0:30 - 1:00,< 5,Procrastinação,Às vezes,Torna difícil estabelecer um cronograma de estudos consistente,Não
3,20,1-2,Experiência pessoal,Leitura ativa;Elaboração de resumos;Recursos tecnológicos,Experiência de outras pessoas,Retenção a longo prazo,Diariamente,Resumir e esquematizar,Nenhuma,Não pratico,Não pratico atividades físicas,4,Às vezes,Crença de que pode realizar a tarefa em pouco tempo,Atrasos significativos nas entregas de trabalhos e estudos,4,Filmes e séries,< 1,4,Três a quatro vezes por semana,"Cupira, Pernambuco",1:30 - 2:00,1:30 - 2:00,5-6,Gerenciar o tempo,Às vezes,Torna difícil estabelecer um cronograma de estudos consistente,Sim
25,18,1-2,Experiência pessoal,Discussões em grupo;Recursos tecnológicos,Experimentando,Retenção a longo prazo,Semanalmente,Ensinar outra pessoa,2-3,Caminhada,Cronograma fixo para cada um,4,Às vezes,Falta de motivação,Atrasos significativos nas entregas de trabalhos e estudos,3,Jogos,1-2,4,Cinco ou mais vezes por semana,"Caruaru, Pernambuco",0:30 - 1:00,0:30 - 1:00,5-6,Falta de motivação,Frequentemente,Gera preocupações excessivas sobre o desempenho acadêmico,Não
13,22,< 1,Técnicas cientificamente comprovadas,Leitura ativa,Fontes confiáveis,Retenção a longo prazo,Semanalmente,Resumir e esquematizar,Raramente,Caminhada,Não pratico atividades físicas,5,Frequentemente,Sensação de sobrecarga ou ansiedade em relação à tarefa,Atrasos significativos nas entregas de trabalhos e estudos,5,Jogos,< 1,2,Irregularmente,"Caruaru, Pernambuco",1:00 - 1:30,1:00 - 1:30,< 5,Gerenciar o tempo,Frequentemente,Gera preocupações excessivas sobre o desempenho acadêmico,Sim
8,19,1-2,Técnicas cientificamente comprovadas,Discussões em grupo;Recursos tecnológicos,Experimentando,Resultados de avaliações,Semanalmente,Resolver exercícios,3-5,Academia de musculação,Priorizo a atividade física e encaixo os estudos quando possível,4,Às vezes,Falta de motivação,Atrasos significativos nas entregas de trabalhos e estudos,4,Jogos,2-4,3,Uma ou duas vezes por semana,"Caruaru, Pernambuco",0:30 - 1:00,0:30 - 1:00,6-7,Falta de motivação,Às vezes,Torna difícil estabelecer um cronograma de estudos consistente,Sim
32,29,1-2,Experiência pessoal,Leitura ativa,Pesquisando sobre a eficácia,Retenção a longo prazo,Semanalmente,Ensinar outra pessoa,Raramente,Esportes em equipe,Priorizo os estudos e encaixo a atividade física quando possível,3,Às vezes,Sensação de sobrecarga ou ansiedade em relação à tarefa,Não afeta,3,Jogos,1-2,3,Irregularmente,"Bezerros, Pernambuco",0:30 - 1:00,0:30 - 1:00,5-6,Cansaço,Raramente,Não tenho ansiedade,Não
33,19,1-2,Recomendações sociais,Elaboração de resumos,Experimentando,Resultados de avaliações,Semanalmente,Resolver exercícios,7,Academia de musculação,Priorizo a atividade física e encaixo os estudos quando possível,5,Às vezes,Sensação de sobrecarga ou ansiedade em relação à tarefa,Qualidade inferior nos trabalhos e estudos,2,Filmes e séries,1-2,3,Três a quatro vezes por semana,"Camocim de São Félix, Pernambuco",2:30 - 3:00,2:30 - 3:00,5-6,Gerenciar o tempo,Nunca,Não tenho ansiedade,Sim
31,20,1-2,Recomendações sociais,Leitura ativa;Recursos tecnológicos,Pesquisando sobre a eficácia,Retenção a longo prazo,Semanalmente,Resumir e esquematizar,2-3,Caminhada;Esportes em equipe,Alterno entre atividade física e estudos de acordo com a disponibilidade,2,Às vezes,Falta de motivação,Qualidade inferior nos trabalhos e estudos,4,Filmes e séries,> 4,4,Cinco ou mais vezes por semana,"Caruaru, Pernambuco",1:30 - 2:00,1:30 - 2:00,5-6,Falta de motivação; Procrastinação,Sempre,Evitar iniciar tarefas de estudo,Sim
25,27,1-2,Recomendações sociais,Leitura ativa,Experiência de outras pessoas,Resultados de avaliações,Diariamente,Resolver exercícios,3-5,Academia de musculação,Alterno entre atividade física e estudos de acordo com a disponibilidade,5,Às vezes,Sensação de sobrecarga ou ansiedade em relação à tarefa,Atrasos significativos nas entregas de trabalhos e estudos,5,Filmes e séries,< 1,5,Todos os dias,"Caruaru, Pernambuco",2:00 - 2:30,2:00 - 2:30,7-8,Gerenciar o tempo,Frequentemente,Evitar iniciar tarefas de estudo,Sim